stock_code,target_month,model,sigma,sigma_source,n_residuals_product,abc_class,zero_mad
20932,2011-06,B1_last_month,11.860800,product,12,C,False
20933,2011-06,B1_last_month,7.413000,product,12,B,False
20934,2011-06,B1_last_month,1.482600,product,11,B,False
20936,2011-06,B1_last_month,7.413000,product,12,C,False
20941,2011-06,B1_last_month,19.273800,product,12,C,False
20954,2011-06,B1_last_month,0.000000,product,6,C,True
20956,2011-06,B1_last_month,48.925800,product,12,B,False
20960,2011-06,B1_last_month,20.756400,product,12,B,False
20961,2011-06,B1_last_month,102.299400,product,12,A,False
20963,2011-06,B1_last_month,135.657900,product,12,A,False
20964,2011-06,B1_last_month,0.000000,product,12,C,True
20966,2011-06,B1_last_month,154.931700,product,12,A,False
20967,2011-06,B1_last_month,34.099800,product,12,A,False
20969,2011-06,B1_last_month,37.065000,product,12,A,False
20970,2011-06,B1_last_month,22.980300,product,12,A,False
20971,2011-06,B1_last_month,277.246200,product,12,A,False
20972,2011-06,B1_last_month,489.258000,product,12,A,False
20973,2011-06,B1_last_month,314.311200,product,12,A,False
20974,2011-06,B1_last_month,240.922500,product,12,A,False
20975,2011-06,B1_last_month,747.230400,product,12,A,False
20977,2011-06,B1_last_month,103.040700,product,12,A,False
20978,2011-06,B1_last_month,86.732100,product,12,A,False
20979,2011-06,B1_last_month,197.927100,product,12,A,False
20980,2011-06,B1_last_month,7.413000,product,12,C,False
20981,2011-06,B1_last_month,77.836500,product,12,B,False
20982,2011-06,B1_last_month,96.369000,product,12,B,False
20983,2011-06,B1_last_month,91.921200,product,12,A,False
20984,2011-06,B1_last_month,33.358500,product,12,C,False
20985,2011-06,B1_last_month,171.240300,product,12,B,False
20986,2011-06,B1_last_month,25.945500,product,12,C,False
20992,2011-06,B1_last_month,48.184500,product,12,B,False
20996,2011-06,B1_last_month,44.478000,product,12,B,False
20997,2011-06,B1_last_month,1.482600,product,12,C,False
20998,2011-06,B1_last_month,27.428100,product,12,C,False
21000,2011-06,B1_last_month,2.965200,product,12,B,False
21001,2011-06,B1_last_month,4.447800,product,12,C,False
21002,2011-06,B1_last_month,23.721600,product,12,B,False
21003,2011-06,B1_last_month,2.223900,product,12,C,False
21009,2011-06,B1_last_month,1.482600,product,12,B,False
21011,2011-06,B1_last_month,40.771500,product,12,B,False
21012,2011-06,B1_last_month,17.791200,product,12,B,False
21014,2011-06,B1_last_month,15.567300,product,12,C,False
