model,policy,z,scope,group,fill_rate,stockout_units,excess_units,stockout_skumonth_rate,excess_per_unit_shortage,n_rows
M4_gbm_absolute,forecast_only,1.280000,month,2011-11,0.604033,209193.000000,50360.000000,0.496037,0.240735,2776
M4_gbm_absolute,forecast_only,1.280000,abc,A,0.668454,521767.000000,190761.000000,0.496961,0.365606,4771
M4_gbm_absolute,forecast_only,1.280000,abc,B,0.512901,205279.000000,55146.000000,0.463212,0.268639,4825
M4_gbm_absolute,forecast_only,1.280000,abc,C,0.428373,110679.000000,32403.000000,0.347613,0.292766,6933
M4_gbm_absolute,forecast_only,1.645000,overall,all,0.617266,837725.000000,278310.000000,0.424466,0.332221,16529
M4_gbm_absolute,forecast_only,1.645000,month,2011-06,0.631464,100271.000000,41393.000000,0.412948,0.412811,2734
M4_gbm_absolute,forecast_only,1.645000,month,2011-07,0.658534,93775.000000,36582.000000,0.440401,0.390104,2693
M4_gbm_absolute,forecast_only,1.645000,month,2011-08,0.662445,97309.000000,41969.000000,0.369214,0.431296,2722
M4_gbm_absolute,forecast_only,1.645000,month,2011-09,0.553305,178168.000000,39830.000000,0.438105,0.223553,2787
M4_gbm_absolute,forecast_only,1.645000,month,2011-10,0.627304,159009.000000,68176.000000,0.389776,0.428756,2817
M4_gbm_absolute,forecast_only,1.645000,month,2011-11,0.604033,209193.000000,50360.000000,0.496037,0.240735,2776
M4_gbm_absolute,forecast_only,1.645000,abc,A,0.668454,521767.000000,190761.000000,0.496961,0.365606,4771
M4_gbm_absolute,forecast_only,1.645000,abc,B,0.512901,205279.000000,55146.000000,0.463212,0.268639,4825
M4_gbm_absolute,forecast_only,1.645000,abc,C,0.428373,110679.000000,32403.000000,0.347613,0.292766,6933
M4_gbm_absolute,forecast_only,2.050000,overall,all,0.617266,837725.000000,278310.000000,0.424466,0.332221,16529
M4_gbm_absolute,forecast_only,2.050000,month,2011-06,0.631464,100271.000000,41393.000000,0.412948,0.412811,2734
M4_gbm_absolute,forecast_only,2.050000,month,2011-07,0.658534,93775.000000,36582.000000,0.440401,0.390104,2693
M4_gbm_absolute,forecast_only,2.050000,month,2011-08,0.662445,97309.000000,41969.000000,0.369214,0.431296,2722
M4_gbm_absolute,forecast_only,2.050000,month,2011-09,0.553305,178168.000000,39830.000000,0.438105,0.223553,2787
M4_gbm_absolute,forecast_only,2.050000,month,2011-10,0.627304,159009.000000,68176.000000,0.389776,0.428756,2817
M4_gbm_absolute,forecast_only,2.050000,month,2011-11,0.604033,209193.000000,50360.000000,0.496037,0.240735,2776
M4_gbm_absolute,forecast_only,2.050000,abc,A,0.668454,521767.000000,190761.000000,0.496961,0.365606,4771
M4_gbm_absolute,forecast_only,2.050000,abc,B,0.512901,205279.000000,55146.000000,0.463212,0.268639,4825
M4_gbm_absolute,forecast_only,2.050000,abc,C,0.428373,110679.000000,32403.000000,0.347613,0.292766,6933
M4_gbm_absolute,forecast_plus_ss,1.280000,overall,all,0.815975,402792.000000,1253025.000000,0.167947,3.110849,16529
M4_gbm_absolute,forecast_plus_ss,1.280000,month,2011-06,0.849253,41015.000000,212370.000000,0.143745,5.177862,2734
M4_gbm_absolute,forecast_plus_ss,1.280000,month,2011-07,0.866028,36792.000000,212011.000000,0.152618,5.762421,2693
M4_gbm_absolute,forecast_plus_ss,1.280000,month,2011-08,0.882727,33807.000000,205213.000000,0.112417,6.070133,2722
M4_gbm_absolute,forecast_plus_ss,1.280000,month,2011-09,0.780742,87453.000000,183045.000000,0.203086,2.093067,2787
M4_gbm_absolute,forecast_plus_ss,1.280000,month,2011-10,0.785147,91666.000000,240368.000000,0.164004,2.622215,2817
M4_gbm_absolute,forecast_plus_ss,1.280000,month,2011-11,0.787891,112059.000000,200018.000000,0.229827,1.784935,2776
